epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3821,1.40302,2.64895,1.37637,0.84308,0.74907,0.7892,0.51533,1.23913,1.94607,1.19674,0.000655738,0.000655738,0.000655738
2,63.2101,1.30432,1.22967,1.24248,0.01196,0.48558,0.00899,0.0051,1.49554,24.3013,1.52853,0.00130931,0.00130931,0.00130931
3,82.005,1.29129,1.17416,1.266,0.68428,0.63561,0.70251,0.43465,1.29005,4.84533,1.27624,0.00194969,0.00194969,0.00194969
4,101.477,1.27538,1.11358,1.23775,0.67907,0.7833,0.77741,0.41896,1.55465,9.33715,1.46369,0.0019406,0.0019406,0.0019406
5,120.509,1.26752,1.0667,1.24933,0.76994,0.71635,0.79935,0.5149,1.25141,1.15658,1.2332,0.0019208,0.0019208,0.0019208
6,140.324,1.24065,0.99166,1.23598,0.82536,0.82212,0.8887,0.61882,1.09578,0.89527,1.1424,0.001901,0.001901,0.001901
7,159.566,1.21255,0.98596,1.21589,0.77285,0.69231,0.80938,0.54426,1.2044,1.14302,1.15623,0.0018812,0.0018812,0.0018812
8,179.53,1.18889,0.96508,1.21004,0.83976,0.85096,0.91309,0.62095,1.12481,0.79714,1.16726,0.0018614,0.0018614,0.0018614
9,198.769,1.16865,0.90973,1.20265,0.84523,0.81392,0.89323,0.60635,1.16518,0.83992,1.21729,0.0018416,0.0018416,0.0018416
10,218.526,1.18654,0.88288,1.18959,0.18155,0.79808,0.16843,0.1098,1.2035,7.19926,1.49222,0.0018218,0.0018218,0.0018218
11,237.793,1.17598,0.9217,1.20187,0.85913,0.82692,0.9016,0.59605,1.1844,0.77326,1.17746,0.001802,0.001802,0.001802
12,257.748,1.17292,0.88208,1.18626,0.83443,0.74519,0.83964,0.58061,1.09342,0.90539,1.14693,0.0017822,0.0017822,0.0017822
13,277.033,1.13111,0.83574,1.16767,0.8809,0.81785,0.9247,0.65827,1.08501,0.76654,1.15283,0.0017624,0.0017624,0.0017624
14,297.109,1.14042,0.82226,1.17487,0.85585,0.82692,0.89121,0.61303,1.16984,0.87637,1.18486,0.0017426,0.0017426,0.0017426
15,316.396,1.14464,0.86222,1.18821,0.90147,0.8125,0.91789,0.64705,1.07894,0.79542,1.15336,0.0017228,0.0017228,0.0017228
16,336.362,1.14992,0.80283,1.18903,0.9321,0.79197,0.89014,0.59918,1.19696,0.8172,1.17906,0.001703,0.001703,0.001703
17,355.853,1.16464,0.83302,1.19587,0.91263,0.85376,0.9259,0.65077,1.09323,0.76296,1.19158,0.0016832,0.0016832,0.0016832
18,375.599,1.08667,0.75635,1.14341,0.90486,0.82301,0.91984,0.62305,1.12744,0.74628,1.15371,0.0016634,0.0016634,0.0016634
19,395.062,1.09983,0.77131,1.15745,0.86426,0.87019,0.92806,0.65773,1.07018,0.94742,1.13243,0.0016436,0.0016436,0.0016436
20,414.553,1.08514,0.77897,1.14513,0.88552,0.84615,0.927,0.63472,1.09504,0.78017,1.17028,0.0016238,0.0016238,0.0016238
21,434.169,1.06874,0.70848,1.14392,0.83791,0.90865,0.94696,0.66082,1.09633,0.70239,1.15866,0.001604,0.001604,0.001604
22,453.511,1.09678,0.73779,1.16665,0.88963,0.82692,0.90608,0.62535,1.1511,0.73639,1.16542,0.0015842,0.0015842,0.0015842
23,473.23,1.06577,0.73726,1.14217,0.92833,0.86058,0.945,0.68262,1.03878,0.63406,1.14457,0.0015644,0.0015644,0.0015644
24,492.562,1.05067,0.7115,1.12931,0.91193,0.88942,0.94923,0.67485,1.07446,0.67816,1.13295,0.0015446,0.0015446,0.0015446
25,512.63,1.07676,0.71857,1.13729,0.89419,0.85326,0.92004,0.65052,1.11927,0.77239,1.16186,0.0015248,0.0015248,0.0015248
26,531.48,1.097,0.73755,1.16281,0.88757,0.81731,0.90616,0.61888,1.14184,1.01582,1.20875,0.001505,0.001505,0.001505
27,551.419,1.06423,0.70736,1.12878,0.9287,0.87019,0.95624,0.67124,1.09682,0.64939,1.12931,0.0014852,0.0014852,0.0014852
28,570.43,1.06432,0.70628,1.12532,0.93691,0.84135,0.94682,0.69149,0.99761,0.65571,1.10661,0.0014654,0.0014654,0.0014654
29,590.333,1.05771,0.67832,1.13551,0.95125,0.84432,0.9427,0.6534,1.14099,0.70179,1.13696,0.0014456,0.0014456,0.0014456
30,609.395,1.06141,0.6967,1.12643,0.87976,0.86538,0.93542,0.68758,1.02991,0.67137,1.09503,0.0014258,0.0014258,0.0014258
31,629.177,1.0311,0.67197,1.11601,0.94327,0.87929,0.95063,0.69818,1.0372,0.62051,1.10176,0.001406,0.001406,0.001406
32,648.201,1.0367,0.68451,1.12326,0.91105,0.88638,0.94816,0.6901,1.02131,0.60506,1.09371,0.0013862,0.0013862,0.0013862
33,667.997,1.00416,0.63473,1.09569,0.93296,0.86972,0.95056,0.66531,1.07483,0.64368,1.11166,0.0013664,0.0013664,0.0013664
34,687.132,1.02286,0.6361,1.10515,0.92835,0.87205,0.94382,0.69308,1.00519,0.61837,1.08141,0.0013466,0.0013466,0.0013466
35,706.991,1.01475,0.64764,1.09934,0.92657,0.84937,0.92909,0.66696,1.07489,0.65346,1.12734,0.0013268,0.0013268,0.0013268
36,726.019,1.00697,0.64448,1.10273,0.91314,0.86538,0.94777,0.7001,0.99602,0.63137,1.09139,0.001307,0.001307,0.001307
37,746.081,1.0106,0.64309,1.10759,0.94581,0.83916,0.95252,0.71789,0.97576,0.61677,1.103,0.0012872,0.0012872,0.0012872
38,765.3,1.00756,0.6674,1.11476,0.92951,0.88756,0.9455,0.6762,1.05035,0.62837,1.11986,0.0012674,0.0012674,0.0012674
39,785.282,0.98183,0.62149,1.0884,0.96356,0.88977,0.9566,0.70989,0.99706,0.58361,1.0907,0.0012476,0.0012476,0.0012476
40,804.529,0.96959,0.57862,1.07089,0.95019,0.87019,0.96386,0.70814,1.02013,0.56878,1.09322,0.0012278,0.0012278,0.0012278
41,824.393,0.96635,0.60409,1.07898,0.91107,0.88654,0.94874,0.69027,1.03394,0.59761,1.08403,0.001208,0.001208,0.001208
42,843.614,0.97313,0.58307,1.0726,0.87239,0.88742,0.94478,0.6905,1.01482,0.6013,1.09874,0.0011882,0.0011882,0.0011882
43,863.22,0.96195,0.59632,1.08016,0.94893,0.86538,0.95724,0.70299,1.02355,0.5973,1.09309,0.0011684,0.0011684,0.0011684
44,882.164,0.97516,0.61232,1.0899,0.92145,0.90231,0.96483,0.69554,1.02696,0.59613,1.08576,0.0011486,0.0011486,0.0011486
45,901.898,0.95197,0.57502,1.06418,0.90545,0.8748,0.9311,0.68102,1.01522,0.69192,1.07957,0.0011288,0.0011288,0.0011288
46,921.179,0.97294,0.62428,1.08614,0.96044,0.81699,0.93698,0.67606,1.0503,0.63872,1.11665,0.001109,0.001109,0.001109
47,940.889,0.95224,0.59417,1.07026,0.91009,0.88942,0.94727,0.69937,1.00608,0.6205,1.11195,0.0010892,0.0010892,0.0010892
48,959.857,0.95433,0.56534,1.07208,0.9453,0.83087,0.90902,0.65595,1.08074,0.69759,1.09765,0.0010694,0.0010694,0.0010694
49,979.596,0.93781,0.55503,1.06516,0.92513,0.87981,0.95679,0.70692,1.02373,0.63058,1.1032,0.0010496,0.0010496,0.0010496
50,998.628,0.94829,0.56642,1.07619,0.93316,0.87258,0.95578,0.71304,0.99357,0.57111,1.1023,0.0010298,0.0010298,0.0010298
51,1018.38,0.93557,0.55915,1.05633,0.96004,0.875,0.96298,0.71012,1.00573,0.55898,1.08644,0.00101,0.00101,0.00101
52,1037.52,0.91084,0.54452,1.04305,0.96099,0.88462,0.95696,0.69396,1.0388,0.56956,1.10869,0.0009902,0.0009902,0.0009902
53,1057.26,0.92743,0.55798,1.04963,0.92669,0.89904,0.96032,0.70831,1.00247,0.58248,1.08169,0.0009704,0.0009704,0.0009704
54,1077.43,0.89881,0.70505,1.03053,0.93833,0.86058,0.95801,0.68211,1.11722,0.59259,1.11205,0.0009506,0.0009506,0.0009506
55,1097.91,0.91187,0.55013,1.05315,0.93951,0.86538,0.94429,0.68483,1.05858,0.61602,1.10977,0.0009308,0.0009308,0.0009308
56,1116.64,0.90204,0.53163,1.05061,0.91098,0.88557,0.93979,0.69723,1.00966,0.60291,1.08985,0.000911,0.000911,0.000911
57,1136.53,0.90172,0.54196,1.04134,0.91902,0.875,0.93134,0.68968,1.00687,0.6579,1.10534,0.0008912,0.0008912,0.0008912
